--- Prod Version ---
loss: 1.6958 - accuracy: 0.6948 - val_loss: 2.5330 - val_accuracy: 0.6165

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
 20 |    1.911 |   12.517 |    0.880 |    4.254
 21 |    2.521 |   14.656 |    0.689 |    3.334
 22 |    2.394 |   14.285 |    0.686 |    3.510
 23 |    2.689 |   15.909 |    1.197 |    5.538
 24 |    2.451 |   15.094 |    1.214 |    5.785
 25 |    2.256 |   14.422 |    0.998 |    5.404
 26 |    2.179 |   14.332 |    0.999 |    5.368
 27 |    2.009 |   12.994 |    0.561 |    3.416
 28 |    1.883 |   12.600 |    0.533 |    2.815
 29 |    2.546 |   14.589 |    0.823 |    3.991
 30 |    2.411 |   14.141 |    0.775 |    3.739
 31 |    0.471 |    1.810 |    0.446 |    1.809
 32 |    0.449 |    1.728 |    0.459 |    1.926
 33 |    1.868 |    4.080 |    1.582 |    3.755
 34 |    1.708 |    3.641 |    2.001 |    4.110
 35 |    0.631 |    1.483 |    0.000 |    0.000
 36 |    0.011 |    0.360 |    0.444 |    1.178
 37 |    0.383 |    1.891 |    0.140 |    0.703
 38 |    0.369 |    1.847 |    0.166 |    0.755
 39 |    0.425 |    2.238 |    0.082 |    0.426
 40 |    0.391 |    2.123 |    0.093 |    0.470
 41 |    0.518 |    1.117 |    0.000 |    0.000
 42 |    0.000 |    0.000 |    0.346 |    0.980
 43 |    0.512 |    1.131 |    0.000 |    0.000
 44 |    0.007 |    0.296 |    0.359 |    1.053
 45 |    0.336 |    2.032 |    0.091 |    0.486
 46 |    0.318 |    1.928 |    0.091 |    0.504
 47 |    1.936 |    4.587 |    1.535 |    3.995
 48 |    1.885 |    4.590 |    1.532 |    4.108
 49 |    0.222 |    0.962 |    0.196 |    0.999
 50 |    0.202 |    0.893 |    0.178 |    0.942
 51 |    0.326 |    2.415 |    0.220 |    1.063
 52 |    0.355 |    2.601 |    0.199 |    1.029
 53 |    2.287 |    5.537 |    1.739 |    4.758
 54 |    2.360 |    5.698 |    1.774 |    4.808
 55 |    0.000 |    0.000 |    0.000 |    0.000
 59 |    2.139 |    6.375 |    0.000 |    0.000
 All|    1.332 |    7.284 |    1.002 |    3.982


--- U-Net Version (900K train/val events) ---
loss: 0.4057 - accuracy: 0.9813 - val_loss: 0.8568 - val_accuracy: 0.9289

Raw μ+ distance-based accuracy: 0.9627
Raw μ- distance-based accuracy: 0.9658

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
  1 |    1.966 |    5.516 |    2.001 |    5.170
  2 |    1.984 |    5.774 |    2.043 |    5.254
  3 |    1.767 |    4.774 |    1.685 |    4.569
  4 |    1.770 |    4.793 |    1.669 |    4.592
  5 |    1.948 |    5.032 |    2.341 |    5.471
  6 |    1.941 |    5.010 |    2.358 |    5.505
 13 |    0.391 |    2.213 |    0.350 |    1.392
 14 |    0.359 |    1.583 |    0.353 |    1.390
 15 |    0.279 |    1.173 |    0.251 |    1.062
 16 |    0.272 |    1.170 |    0.251 |    1.047
 17 |    0.353 |    1.472 |    0.307 |    1.313
 18 |    0.357 |    1.483 |    0.301 |    1.278
 19 |    0.603 |    6.577 |    0.269 |    2.785
 20 |    0.646 |    6.922 |    0.258 |    2.605
 21 |    0.574 |    6.701 |    0.171 |    1.796
 22 |    0.587 |    6.799 |    0.182 |    2.010
 23 |    0.747 |    8.073 |    0.302 |    2.904
 24 |    0.848 |    8.779 |    0.284 |    2.635
 25 |    0.786 |    8.617 |    0.266 |    2.644
 26 |    0.812 |    8.765 |    0.285 |    2.764
 27 |    0.634 |    7.317 |    0.172 |    1.704
 28 |    0.605 |    7.087 |    0.150 |    1.508
 29 |    0.629 |    6.841 |    0.191 |    1.811
 30 |    0.586 |    6.484 |    0.201 |    1.870
 31 |    0.183 |    0.851 |    0.151 |    0.923
 32 |    0.174 |    0.881 |    0.164 |    0.925
 33 |    0.776 |    2.790 |    0.700 |    2.570
 34 |    0.864 |    2.727 |    0.769 |    2.729
 35 |    0.241 |    0.851 |    0.003 |    0.167
 36 |    0.009 |    0.295 |    0.132 |    0.590
 37 |    0.086 |    0.750 |    0.050 |    0.382
 38 |    0.095 |    0.825 |    0.053 |    0.384
 39 |    0.090 |    0.920 |    0.029 |    0.238
 40 |    0.103 |    0.981 |    0.028 |    0.233
 41 |    0.202 |    0.689 |    0.000 |    0.000
 42 |    0.001 |    0.076 |    0.105 |    0.480
 43 |    0.203 |    0.704 |    0.000 |    0.000
 44 |    0.000 |    0.000 |    0.108 |    0.530
 45 |    0.077 |    0.858 |    0.026 |    0.243
 46 |    0.088 |    0.922 |    0.029 |    0.268
 47 |    0.505 |    2.140 |    0.414 |    1.955
 48 |    0.502 |    2.140 |    0.408 |    1.925
 49 |    0.090 |    0.669 |    0.064 |    0.543
 50 |    0.080 |    0.651 |    0.061 |    0.552
 51 |    0.117 |    1.516 |    0.074 |    0.690
 52 |    0.114 |    1.285 |    0.077 |    0.699
 53 |    0.615 |    2.727 |    0.469 |    2.250
 54 |    0.613 |    2.745 |    0.468 |    2.281
 All|    0.465 |    3.888 |    0.359 |    2.207


--- Alex-Net Version ---
loss: 1.3275 - accuracy: 0.7661 - val_loss: 2.2348 - val_accuracy: 0.6481

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
  1 |    5.667 |    6.200 |    5.543 |    5.272
  2 |    5.612 |    6.230 |    5.550 |    5.351
  3 |    5.311 |    5.196 |    5.207 |    5.080
  4 |    5.389 |    5.103 |    5.321 |    5.193
  5 |    5.685 |    5.804 |    5.503 |    5.548
  6 |    5.682 |    5.603 |    5.622 |    5.758
  7 |    0.000 |    0.000 |    0.000 |    0.000
 13 |    1.533 |    2.011 |    1.605 |    2.222
 14 |    1.555 |    2.110 |    1.540 |    2.160
 15 |    1.199 |    1.682 |    1.220 |    1.839
 16 |    1.204 |    1.655 |    1.225 |    1.774
 17 |    1.502 |    2.143 |    1.517 |    2.150
 18 |    1.512 |    2.144 |    1.526 |    2.098
 19 |    2.532 |   12.920 |    1.041 |    2.887
 20 |    2.497 |   12.915 |    1.056 |    2.889
 21 |    2.432 |   13.426 |    0.777 |    2.600
 22 |    2.494 |   13.765 |    0.798 |    2.669
 23 |    2.565 |   14.132 |    1.355 |    4.356
 24 |    2.610 |   14.382 |    1.402 |    4.538
 25 |    2.190 |   12.445 |    1.470 |    5.107
 26 |    2.500 |   13.872 |    1.434 |    4.926
 27 |    1.742 |   11.122 |    0.835 |    2.960
 28 |    1.861 |   11.575 |    0.845 |    2.792
 29 |    1.853 |   10.077 |    1.228 |    3.323
 30 |    1.904 |   10.407 |    1.171 |    3.107
 31 |    0.324 |    1.191 |    0.292 |    1.164
 32 |    0.307 |    1.088 |    0.311 |    1.181
 33 |    1.137 |    3.266 |    1.585 |    3.659
 34 |    1.532 |    3.347 |    1.524 |    3.639
 35 |    0.477 |    1.053 |    0.000 |    0.000
 36 |    0.011 |    0.360 |    0.495 |    1.218
 37 |    0.182 |    1.169 |    0.111 |    0.512
 38 |    0.185 |    1.165 |    0.126 |    0.516
 39 |    0.178 |    1.314 |    0.070 |    0.373
 40 |    0.212 |    1.452 |    0.089 |    0.393
 41 |    0.353 |    0.827 |    0.000 |    0.000
 42 |    0.000 |    0.000 |    0.332 |    0.778
 43 |    0.361 |    0.838 |    0.000 |    0.000
 44 |    0.000 |    0.000 |    0.347 |    0.871
 45 |    0.160 |    1.193 |    0.095 |    0.388
 46 |    0.194 |    1.367 |    0.095 |    0.404
 47 |    1.744 |    3.072 |    1.768 |    3.225
 48 |    1.764 |    3.008 |    1.783 |    3.239
 49 |    0.469 |    0.982 |    0.504 |    1.095
 50 |    0.493 |    0.977 |    0.502 |    1.161
 51 |    0.727 |    2.918 |    0.640 |    1.360
 52 |    0.732 |    2.933 |    0.637 |    1.239
 53 |    2.041 |    3.683 |    2.140 |    4.453
 54 |    2.065 |    3.572 |    2.055 |    3.903
 55 |    0.000 |    0.000 |    0.000 |    0.000
 59 |    1.659 |    4.217 |    0.000 |    0.000
 All|    1.423 |    6.283 |    1.190 |    3.213


--- ResNet-backed U-Net ---
loss: 0.5512 - accuracy: 0.9609 - val_loss: 1.7120 - val_accuracy: 0.8203

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
  1 |    6.458 |    9.600 |    6.498 |    9.295
  2 |    6.012 |    9.395 |    6.467 |    9.227
  3 |    5.707 |    8.310 |    5.745 |    8.772
  4 |    5.742 |    8.235 |    5.701 |    8.700
  5 |    6.144 |    8.709 |    6.362 |    9.497
  6 |    5.988 |    8.556 |    6.491 |    9.614
  7 |    0.000 |    0.000 |    0.000 |    0.000
 13 |    1.580 |    4.208 |    1.585 |    3.487
 14 |    1.553 |    3.604 |    1.596 |    3.617
 15 |    1.107 |    2.518 |    1.021 |    2.825
 16 |    1.089 |    2.495 |    1.073 |    2.696
 17 |    1.445 |    3.110 |    1.330 |    3.208
 18 |    1.475 |    3.231 |    1.356 |    3.402
 19 |    4.562 |   20.152 |    1.949 |    6.294
 20 |    4.858 |   20.880 |    1.897 |    6.227
 21 |    5.166 |   21.420 |    1.609 |    5.216
 22 |    4.910 |   20.856 |    1.633 |    5.337
 23 |    5.734 |   23.804 |    2.730 |    8.652
 24 |    6.700 |   26.017 |    2.770 |    8.834
 25 |    4.703 |   21.516 |    2.689 |    8.839
 26 |    4.473 |   20.911 |    2.836 |    8.995
 27 |    3.700 |   18.061 |    1.652 |    5.424
 28 |    4.086 |   18.982 |    1.594 |    5.192
 29 |    4.166 |   19.150 |    2.186 |    6.694
 30 |    4.221 |   19.229 |    2.232 |    6.614
 31 |    1.060 |    3.050 |    1.345 |    3.619
 32 |    1.103 |    3.140 |    1.187 |    3.394
 33 |    1.813 |    4.040 |    2.191 |    4.264
 34 |    2.293 |    4.123 |    2.487 |    4.534
 35 |    0.875 |    1.762 |    0.000 |    0.000
 36 |    0.011 |    0.360 |    0.789 |    1.676
 37 |    0.817 |    2.911 |    0.437 |    1.320
 38 |    0.909 |    3.059 |    0.418 |    1.305
 39 |    0.756 |    3.056 |    0.231 |    0.766
 40 |    1.037 |    3.572 |    0.222 |    0.727
 41 |    0.713 |    1.386 |    0.000 |    0.000
 42 |    0.000 |    0.000 |    0.670 |    1.343
 43 |    0.781 |    1.524 |    0.000 |    0.000
 44 |    0.000 |    0.000 |    0.668 |    1.367
 45 |    0.672 |    2.887 |    0.243 |    0.825
 46 |    0.825 |    3.214 |    0.238 |    0.819
 47 |    2.805 |    5.480 |    2.617 |    5.452
 48 |    2.804 |    5.606 |    2.779 |    5.739
 49 |    0.362 |    1.299 |    0.281 |    1.451
 50 |    0.328 |    1.240 |    0.289 |    1.266
 51 |    0.435 |    2.514 |    0.316 |    1.345
 52 |    0.438 |    2.696 |    0.318 |    1.371
 53 |    3.043 |    6.307 |    2.938 |    6.346
 54 |    3.223 |    6.529 |    3.063 |    6.537
 55 |    0.000 |    0.000 |    0.000 |    0.000
 59 |    2.903 |    7.555 |    0.000 |    0.000
 All|    2.170 |   10.250 |    1.644 |    5.257


--- Analyzing Results ---
U-Net had by far the best accuracy and lowest loss, indicating it outperforms others for 
pure classification. By contrast, ResNet had best residual results, indicating
it predicts hits closest to the actual signal track even if the predictions are 
still wrong. Based on this, it's hard to quantify which is better between ResNet
and U-Net. Looking at residual plot alone, ResNet is better but it ultimately
performs worse on the desired task (classification): our loss only penalizes
incorrectly classified results but not by how far off the wrong predictions are. 
If residuals are important, we can try to incorporate distance into the loss 
as well. 
